"10010","70928","M","f","20020677","11112990261","黑龙江省"
"1002","84318","N","m","20020468","11570190687","黑龙江省"
"10033","740","O","m","20020911","11673708600","台湾省"
"10058","5376","A","f","20021100","12471507329","黑龙江省"
"10079","33917","C","m","20020543","11665423825","青海省"
"1011","19907","Q","f","20020899","12838785141","台湾省"
"10162","39653","Q","m","20021137","12754085343","台湾省"
"10166","98314","K","f","20021018","11245275633","辽宁省"
"10167","92156","C","m","20021065","12194853476","台湾省"
"1019","52944","F","m","20020322","12202309051","黑龙江省"
"10201","73404","E","m","20020942","12178216947","黑龙江省"
"1022","90473","C","m","20021150","11535313726","辽宁省"
"10225","28084","V","f","20021105","11351415939","黑龙江省"
"10228","58546","R","f","20020744","12961590794","黑龙江省"
"10292","86409","P","m","20020242","11677795022","黑龙江省"
"10299","22941","L","f","20020132","11502196821","黑龙江省"
"10305","53325","Y","m","20020205","11897625165","黑龙江省"
"10354","49587","J","f","20020595","11997924274","广东省"
"1042","5833","A","f","20020298","11967374827","辽宁省"
"10422","60957","U","f","20020506","12405135158","黑龙江省"
"10428","81475","H","m","20021188","12075737772","安徽省"
"105","63630","H","f","20020396","12756268287","辽宁省"
"10511","96574","R","m","20021206","11382705792","黑龙江省"
"10528","79596","B","f","20020908","11227628150","贵州省"
"10552","62508","D","f","20020762","11998762957","台湾省"
"10556","38915","B","f","20020479","12016457074","黑龙江省"
"1057","22349","M","m","20020964","11383754832","辽宁省"
"10601","67595","K","f","20021172","11757560780","黑龙江省"
"10614","47155","D","f","20020673","11431054154","台湾省"
"10632","77502","W","f","20020123","11867656825","黑龙江省"
"10649","26247","V","m","20021187","12064673173","黑龙江省"
"10667","90434","W","f","20020724","11704950462","山东省"
"10674","97893","W","m","20020978","12052742499","黑龙江省"
"10693","68199","S","m","20020895","12256123198","陕西省"
"10694","80567","M","f","20020737","11572124299","黑龙江省"
"10701","70680","L","m","20020792","11585900699","黑龙江省"
"10703","95263","M","m","20021096","12895114220","台湾省"
"10710","86328","S","m","20020883","11853026648","黑龙江省"
"10720","79490","R","m","20020465","12066586758","辽宁省"
"10721","98561","F","f","20021155","11447175142","黑龙江省"
"10741","95579","H","f","20020745","11293074832","山西省"
