"1","1000337","1000337","738950","f","18795553267","眼科","13：00-15：00","北京协和医院","副教授"
"2","1001251","1001251","319416","m","17460129229","儿童急救中心","10：00-11：00","北京电力医院","副教授"
"3","1001461","1001461","119474","m","14697771565","激光科","9：00-12：00","北京航天总医院","副主任"
"4","1001843","1001843","60561","m","15038928342","氧疗科","10：00-11：00","中国康复研究中心北京博爱医院","副主任"
"5","1003153","1003153","219385","m","13094783361","放疗科","10：00-11：00","北京铁营医院","教授"
"6","1004254","1004254","671425","m","18901526229","中医骨伤科","10：00-12：00","北京电力医院","教授"
"7","1004664","1004664","564048","m","14281250103","病理科","10：00-12：00","北京医院","主任医师"
"8","1005564","1005564","676953","m","18724240068","核医学科","9：00-12：00","北京丰台医院","副主任"
"9","1006561","1006561","71828","m","17287755237","超声科","10：00-12：00","北京铁营医院","主任医师"
"10","1011074","1011074","578971","m","14708793984","全科","9：00-12：00","丰台区妇幼保健院","副主任"
"11","1011406","1011406","729210","m","15524792280","氧疗科","10：00-12：00","北京丰台医院","教授"
"12","1012468","1012468","897752","f","18627086894","放疗科","10：00-11：00","北京铁营医院","副教授"
"13","1012907","1012907","415034","m","15097782833","肿瘤内科","17：00-19：00","北京医院","副教授"
"14","1017046","1017046","388767","m","13301230039","皮肤科","10：00-11：00","首都医科大学附属北京佑安医院","主任医师"
"15","101781","101781","247746","m","13017064315","神经中心电生理科","10：00-12：00","北京医院","副主任"
"16","1018103","1018103","650041","f","17561298976","放疗科","10：00-12：00","北京航天总医院","主任医师"
"17","1019368","1019368","941913","f","18355879612","肿瘤内科","13：00-15：00","北京市丰台中西医结合医院","教授"
"18","1023684","1023684","577474","f","13698870676","肾脏内科","10：00-11：00","北京734医院","副教授"
"19","1024661","1024661","836170","f","18751212890","肾脏内科","9：00-12：00","北京市丰台中西医结合医院","主任医师"
"20","1025710","1025710","224638","f","18076469311","产前诊断中心","10：00-12：00","首都医科大学附属北京佑安医院","副主任"
"21","1025779","1025779","244248","f","17715849315","VIP","13：00-15：00","北京航天总医院","副教授"
"22","1026932","1026932","212645","f","18291132646","眼科","13：00-15：00","北京铁营医院","副教授"
"23","1027956","1027956","190062","m","16624626693","ICU","17：00-19：00","北京市丰台中西医结合医院","副主任"
"24","1031145","1031145","446092","f","13873654838","神经中心电生理科","10：00-12：00","北京电力医院","主任医师"
"25","1031365","1031365","49895","m","14449330707","激光科","9：00-12：00","北京丰台医院","主任医师"
"26","1031719","1031719","398307","m","14849887636","血液内科","10：00-11：00","丰台区妇幼保健院","副教授"
"27","1040382","1040382","667573","m","15764378092","烧伤整形美容外科","17：00-19：00","首都医科大学附属北京佑安医院","主任医师"
"28","1040672","1040672","844532","m","13763084286","病理科","17：00-19：00","北京协和医院","教授"
"29","1042944","1042944","118807","f","15282175706","消化内科","10：00-11：00","首都医科大学附属北京佑安医院","副教授"
"30","1045496","1045496","873211","f","16813576974","放疗科","13：00-15：00","北京755医院","副教授"
"31","1045711","1045711","989038","m","14571837917","放射介入科","10：00-12：00","北京中医药大学东方医院","主任医师"
"32","1045813","1045813","220198","m","18748828545","核医学科","13：00-15：00","北京丰台医院","副教授"
"33","1054216","1054216","460018","m","15760523063","心脏外科","17：00-19：00","北京丰台医院","副教授"
"34","1056486","1056486","675700","f","15760629425","脊柱骨科","10：00-12：00","北京航天总医院","主任医师"
"35","1059932","1059932","512831","f","13560797434","麻醉科","10：00-12：00","北京铁营医院","副教授"
"36","1060464","1060464","503470","f","14830309357","心理咨询 ","10：00-11：00","北京航天总医院","教授"
"37","1061350","1061350","131446","f","17885903744","血液内科","10：00-12：00","中国康复研究中心北京博爱医院","副主任"
"38","1061586","1061586","118666","f","14227730222","VIP","10：00-12：00","北京丰台医院","主任医师"
"39","1064768","1064768","744274","m","18814976659","肿瘤内科","10：00-11：00","北京市丰台中西医结合医院","教授"
"40","1065267","1065267","212699","m","14634304871","皮肤科","13：00-15：00","北京航天总医院","教授"
"41","1068040","1068040","741434","f","13045714858","胃肠外科","13：00-15：00","北京航天总医院","主任医师"
"42","1073704","1073704","308591","m","18005999786","创伤骨科","13：00-15：00","北京铁营医院","主任医师"
"43","1075561","1075561","891900","f","16923406817","放射科","13：00-15：00","北京745医院","主任医师"
"44","1076522","1076522","421754","f","18861961568","骨三科","10：00-12：00","北京中医药大学东方医院","主任医师"
"45","1078427","1078427","761294","f","16719348985","呼吸内科","9：00-12：00","丰台区妇幼保健院","教授"
